jobId,status,createdAt,atlasTaskIds,newAtlasRequests,reusedTaskIds,walletState,reservedInr,spendSnapshotInr,ledgerKinds,settlementRetry,disposition,error
#68999,failed,2026-09-08T14:59:41.687189+00:00,3,3,0,Refunded/returned,1260.00,0.00,"reserve, refund",,3 tasks charged; later reused by #69000/#69001,The video provider could not complete this generation. Please try again.
#69000,failed,2026-09-08T15:22:48.168042+00:00,3,0,3,Refunded/returned,1260.00,0.00,"reserve, refund",,No duplicate task; same 3 IDs reused; later succeeded in #69001,The video provider could not complete this generation. Please try again.
#69001,succeeded,2026-09-08T15:36:04.318926+00:00,3,0,3,Finalized,1260.00,1233.23,"reserve, settle",settled,Successful recovery using 3 existing charged tasks,
#69704,failed,2026-09-09T06:53:05.891516+00:00,0,0,0,No wallet reservation,7560.00,0.00,"reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve",,No Atlas task accepted; no model charge,Job #69704 stopped before funding: Frozen video model atlascloud/bytedance/seedance-2.5/reference-to-video is incompatible with this job mode.
#69705,failed,2026-09-09T07:00:55.278508+00:00,0,0,0,Refunded/returned,1680.00,0.00,"reserve, refund",,No Atlas task accepted; no model charge,Frozen video model atlascloud/bytedance/seedance-2.5/reference-to-video is incompatible with this image-to-video request.
#69706,succeeded,2026-09-09T07:09:55.977525+00:00,4,4,0,Finalized,1680.00,1374.53,"reserve, settle",settled,,
#69714,failed,2026-09-09T08:03:32.438928+00:00,0,0,0,Refunded/returned,1260.00,0.00,"reserve, refund",,No Atlas task accepted; no model charge,The video provider could not complete this generation. Please try again.
#69715,cancelled,2026-09-09T08:09:22.409238+00:00,0,0,0,Refunded/returned,1260.00,0.00,"reserve, refund",,No Atlas task accepted; no model charge,The video provider could not complete this generation. Please try again.
#69716,succeeded,2026-09-09T08:19:55.657793+00:00,3,3,0,Finalized,1260.00,1237.07,"reserve, settle",settled,,
#69717,succeeded,2026-09-09T08:39:17.70478+00:00,4,4,0,ANOMALY: succeeded but reserve-only; no final settlement/outbox,1680.00,2130.49,reserve,,Succeeded but native audio spoke wrong language; 4 charged tasks are preventable quality loss,
#69734,failed,2026-09-09T09:21:42.382029+00:00,0,0,0,No wallet reservation,7560.00,0.00,"reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve",,No Atlas task accepted; no model charge,Job #69734 was interrupted before funding could be queued. Nothing was charged; give fresh consent and create a new approved attempt.
#69754,failed,2026-09-09T09:31:06.259497+00:00,0,0,0,No wallet reservation,7560.00,0.00,"reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve, reserve",,No Atlas task accepted; no model charge,Job #69754 stopped before funding because Atlas Asset Library registration failed: Atlas outfit registration did not become active. Retry after checking Atlas Asset Library status. Retry after resolving the stated asset issue; any successful registrations will be reused.
#69771,failed,2026-09-09T09:36:08.658083+00:00,4,4,0,Refunded/returned,2100.00,0.00,"reserve, settle, refund",failed,4 tasks completed/charged; fifth rejected with 402; all 4 reused by #69772,"Atlas Cloud could not start this scene because the configured provider account has insufficient credits or unavailable billing. No Atlas task was accepted. Add Atlas provider credits or select another video provider, then start a fresh attempt."
#69772,succeeded,2026-09-09T09:48:19.374633+00:00,5,1,4,ANOMALY: succeeded but reserve-only; no final settlement/outbox,420.00,549.80,reserve,,Successful recovery; reused 4 tasks and created 1 missing task,
